Share Name: IOO
Starting Portfolio Value: 1000.00
2020-09-02, Open, 76.95
2020-09-03, Order Canceled/Margin/Rejected
2020-09-03, Open, 78.01
2020-09-04, SELL EXECUTED, Size: -14, Price: 76.05, Cost: 1078.56, Comm 0.00
2020-09-04, BUY EXECUTED, Size: 14, Price: 76.05, Cost: 1064.70, Comm 0.00
2020-09-04, OPERATION PROFIT, GROSS -13.86, NET -13.86
2020-09-04, Open, 75.78
2020-09-07, Order Canceled/Margin/Rejected
2020-09-07, Open, 74.87
2020-09-08, Order Canceled/Margin/Rejected
2020-09-08, Open, 75.06
2020-09-09, Order Canceled/Margin/Rejected
2020-09-09, Open, 73.66
2020-09-10, Order Canceled/Margin/Rejected
2020-09-10, Open, 74.88
2020-09-11, Order Canceled/Margin/Rejected
2020-09-11, Open, 73.81
2020-09-14, Order Canceled/Margin/Rejected
2020-09-14, Open, 74.04
2020-09-15, Order Canceled/Margin/Rejected
2020-09-15, Open, 73.54
2020-09-16, Order Canceled/Margin/Rejected
2020-09-16, Open, 74.07
2020-09-17, Order Canceled/Margin/Rejected
2020-09-17, Open, 73.18
2020-09-18, Order Canceled/Margin/Rejected
2020-09-18, Open, 73.10
2020-09-21, Order Canceled/Margin/Rejected
2020-09-21, Open, 71.73
2020-09-22, Order Canceled/Margin/Rejected
2020-09-22, Open, 72.07
2020-09-23, Order Canceled/Margin/Rejected
2020-09-23, Open, 73.74
2020-09-24, Order Canceled/Margin/Rejected
2020-09-24, Open, 72.83
2020-09-25, Order Canceled/Margin/Rejected
2020-09-25, Open, 73.21
2020-09-28, Order Canceled/Margin/Rejected
2020-09-28, Open, 74.33
2020-09-29, Order Canceled/Margin/Rejected
2020-09-29, Open, 75.22
2020-09-30, Order Canceled/Margin/Rejected
2020-09-30, Open, 73.96
2020-10-01, Order Canceled/Margin/Rejected
2020-10-01, Open, 74.30
2020-10-02, Order Canceled/Margin/Rejected
2020-10-02, Open, 73.63
2020-10-05, Order Canceled/Margin/Rejected
2020-10-05, Open, 73.83
2020-10-06, Order Canceled/Margin/Rejected
2020-10-06, Open, 74.30
2020-10-07, Order Canceled/Margin/Rejected
2020-10-07, Open, 74.15
2020-10-08, Order Canceled/Margin/Rejected
2020-10-08, Open, 74.99
2020-10-09, Order Canceled/Margin/Rejected
2020-10-09, Open, 75.33
2020-10-12, Order Canceled/Margin/Rejected
2020-10-12, Open, 75.61
2020-10-13, Order Canceled/Margin/Rejected
2020-10-13, Open, 77.31
2020-10-14, SELL EXECUTED, Size: -14, Price: 77.46, Cost: 1064.70, Comm 0.00
2020-10-14, BUY EXECUTED, Size: 14, Price: 77.46, Cost: 1084.44, Comm 0.00
2020-10-14, OPERATION PROFIT, GROSS 19.74, NET 19.74
2020-10-14, Open, 77.20
2020-10-15, SELL EXECUTED, Size: -14, Price: 77.18, Cost: 1084.44, Comm 0.00
2020-10-15, BUY EXECUTED, Size: 14, Price: 77.18, Cost: 1080.52, Comm 0.00
2020-10-15, OPERATION PROFIT, GROSS -3.92, NET -3.92
2020-10-15, Open, 77.01
2020-10-16, Order Canceled/Margin/Rejected
2020-10-16, Open, 77.01
2020-10-19, Order Canceled/Margin/Rejected
2020-10-19, Open, 77.24
2020-10-20, SELL EXECUTED, Size: -14, Price: 77.24, Cost: 1080.52, Comm 0.00
2020-10-20, BUY EXECUTED, Size: 14, Price: 77.24, Cost: 1081.36, Comm 0.00
2020-10-20, OPERATION PROFIT, GROSS 0.84, NET 0.84
2020-10-20, Open, 76.63
2020-10-21, Order Canceled/Margin/Rejected
2020-10-21, Open, 76.83
2020-10-22, Order Canceled/Margin/Rejected
