Share Name: CBA
Starting Portfolio Value: 1000.00
2020-11-05, Order Canceled/Margin/Rejected
2020-11-05, Open, 60.64
2020-11-06, Order Canceled/Margin/Rejected
2020-11-06, Open, 60.75
2020-11-09, Order Canceled/Margin/Rejected
2020-11-09, Open, 61.20
2020-11-10, Order Canceled/Margin/Rejected
2020-11-10, Open, 63.02
2020-11-11, Order Canceled/Margin/Rejected
2020-11-11, Open, 64.76
2020-11-12, Order Canceled/Margin/Rejected
2020-11-12, Open, 63.60
2020-11-13, Order Canceled/Margin/Rejected
2020-11-13, Open, 63.66
2020-11-16, Order Canceled/Margin/Rejected
2020-11-16, Open, 64.84
2020-11-17, Order Canceled/Margin/Rejected
2020-11-17, Open, 65.62
2020-11-18, Order Canceled/Margin/Rejected
2020-11-18, Open, 67.50
2020-11-19, Order Canceled/Margin/Rejected
2020-11-19, Open, 68.65
2020-11-20, Order Canceled/Margin/Rejected
2020-11-20, Open, 69.64
2020-11-23, Order Canceled/Margin/Rejected
2020-11-23, Open, 69.29
2020-11-24, Order Canceled/Margin/Rejected
2020-11-24, Open, 70.65
2020-11-25, Order Canceled/Margin/Rejected
2020-11-25, Open, 71.70
2020-11-26, SELL EXECUTED, Size: -18, Price: 71.29, Cost: 998.10, Comm 0.00
2020-11-26, BUY EXECUTED, Size: 18, Price: 71.29, Cost: 1283.22, Comm 0.00
2020-11-26, OPERATION PROFIT, GROSS 285.12, NET 285.12
2020-11-26, Open, 70.58
2020-11-27, Order Canceled/Margin/Rejected
2020-11-27, Open, 70.25
2020-11-30, Order Canceled/Margin/Rejected
2020-11-30, Open, 68.83
2020-12-01, Order Canceled/Margin/Rejected
2020-12-01, Open, 69.85
2020-12-02, Order Canceled/Margin/Rejected
2020-12-02, Open, 69.72
2020-12-03, Order Canceled/Margin/Rejected
2020-12-03, Open, 69.25
2020-12-04, Order Canceled/Margin/Rejected
2020-12-04, Open, 69.79
2020-12-07, Order Canceled/Margin/Rejected
2020-12-07, Open, 70.28
2020-12-08, Order Canceled/Margin/Rejected
2020-12-08, Open, 71.21
2020-12-09, Order Canceled/Margin/Rejected
2020-12-09, Open, 72.40
2020-12-10, SELL EXECUTED, Size: -18, Price: 72.73, Cost: 1283.22, Comm 0.00
2020-12-10, BUY EXECUTED, Size: 18, Price: 72.73, Cost: 1309.14, Comm 0.00
2020-12-10, OPERATION PROFIT, GROSS 25.92, NET 25.92
2020-12-10, Open, 72.33
2020-12-11, SELL EXECUTED, Size: -18, Price: 72.16, Cost: 1309.14, Comm 0.00
2020-12-11, BUY EXECUTED, Size: 18, Price: 72.16, Cost: 1298.88, Comm 0.00
2020-12-11, OPERATION PROFIT, GROSS -10.26, NET -10.26
2020-12-11, Open, 71.72
2020-12-14, SELL EXECUTED, Size: -18, Price: 71.81, Cost: 1298.88, Comm 0.00
2020-12-14, BUY EXECUTED, Size: 18, Price: 71.81, Cost: 1292.58, Comm 0.00
2020-12-14, OPERATION PROFIT, GROSS -6.30, NET -6.30
2020-12-14, Open, 73.05
2020-12-15, SELL EXECUTED, Size: -18, Price: 73.38, Cost: 1292.58, Comm 0.00
2020-12-15, BUY EXECUTED, Size: 18, Price: 73.38, Cost: 1320.84, Comm 0.00
2020-12-15, OPERATION PROFIT, GROSS 28.26, NET 28.26
2020-12-15, Open, 72.31
2020-12-16, SELL EXECUTED, Size: -18, Price: 72.36, Cost: 1320.84, Comm 0.00
2020-12-16, BUY EXECUTED, Size: 18, Price: 72.36, Cost: 1302.48, Comm 0.00
2020-12-16, OPERATION PROFIT, GROSS -18.36, NET -18.36
